#,Positive,Negative,Neutral,Objective,Subjective,Happy,Sad,Stressed,Calm,Angry,Motivated,Unmotivated,Tired,Energetic,Disgusted,Social,Lonely,No Control,Control,Guilty,Accepting,Embarrassment,Pride
1,Today's been pretty good., Tl;dr: i have no friends and I suck at making and maintaining friendships,It's okay,i'm having a rough night tonight, FEELING RELIEVED AT THE THOUGHT OF BEING KIDNAPPED AND RAPED AND KILLED WAS NORMAL BECAUSE IT WASN’T LIKE ANYONE WHO LOVED ME FELT I WOULD BE WORTH ANYTHING ELSE,Literally it made me so happy I could cry.,I feel so depressed, Everything just sucks I have no one I cant truly talk to anyone because I act like everything with me is okay but in reality it’s the exact opposite,My running and exercise also help take my mind off of things., I hate this feeling because it's selfish and obsessive,My boss promoted me to the new job after I asked.,I am just ready to give up,I am so freaking exhausted,I am PUMPED,I feel disgusted,I got to hang out with my family today and we had a lot of fun,I feel so alone,I am losing control,I was finally able to say no to myself,It is my fault we lost the game,"You know what, I'm over it",I feel really embarrassed,I'm proud of myself
12,Literally this was like something out of a dream,I know how stupid this sounds but it has actually been eating at me for years Ive had this little voice in my head for years that just says the same things over and over about height and it's driving me insane,Today was fine,,,So the company ended up giving me a 30% raise.," I either just lay on some piece of furniture and fail to get up, or surf the net looking for something that feels social, or if I'm lucky I can force myself to do some long, sedentary technical activity with tv in the background for company, like knitting or coloring or luckily paperwork for my job",I’m just tired of everything I hate everything nothing brings me joy or makes me feel happy all I do all day is lay in bed doing nothing as my life passes me by,I felt a huge weight lifted,That just pissed me off and I want to give up.,It feels like I have hope again,There's not really a point anymore,I have no energy whatsoever,"I did a workout, ran 3 miles, and got a ton of work done because I've had so much energy",I am apalled by my friend's behavior towards our teacher,My cent friends brought me to the AEPi party,I don't have any friends,The pillars of my life are being shattered,It's like I finally have some autonomy now that I'm on my own, That was a huge mistake,I have come to terms with my own faults and iniquities,I'm getting a lot of troll feedback. Jerks on the internet are disliking my stuff and calling me useless. That useless thing really hit hard. ,
13,Our date went really well,I can't sleep because if I sleep deprive myself it can't happen and my eating disorder is wanting to come back I'm wanting to not eat to deprive myself of nutrients,Things worked out okay,,,My boss promoted me to the new job after I asked.,I hate seeing my old classmates living their lives and prospering as I stay at home all day everyday doing absolutely nothing,I have the ACT coming up this Saturday,I am now at peace with my neighbors,I literally hate my professor,I am hopeful for the future,I don't see a point to it,I pulled an all nighter last night and got no sleep,I have been bouncing off the walls all morning,It was revolting,We were on the phone for like 2 hours,Gosh I feel so alone," I try and tout logic to help my decision-making, but I tend to find myself making seat of my pants decisions because of anxiety or fear. ","Living on my own, I now have freedom, I have autonomy, and yes I have responsibilities but it's been great for my mental health",It was my fault,I managed to forgive myself for these failures,,
14,The presentation went very well!,Oh gosh I feel terrible,I guess I'll be fine,,,It's the best day EVER!,I wish my chest was flatter.,"I have the ACT coming up this Saturday, and I don't feel prepared","It's so nice, just feeling the warm sun against my skin, seeing the blue skies",He is such an asshole,I certainly am prepared for the presentation,No real reason to bother trying to fix it,I literally got zero sleep last night,Let's freaking go!,I wanted to throw up,"You are going to be so proud of me, I was actually social today",All my friends left me after that," Life is full of so much uncertainty and I don't know anything about anything, but I know that I like feeling this clarity, I like feeling hopeful for the future.","I am completely in control of how I think, feel, and behave",I am guilty,"Finally, I feel as though I've been able to forgive myself for these failures",,
15,I got paid $500 today!,Today was awful,It was fine,,,We went to the waterpark and it was so much fun.,I wish my body would match how I see myself in my mind.,"I also will have random anxiety attacks surrounding things that I've put off too long, like cleaning the house, or some chore I've been putting off, I'm seemingly unable to clear the anxiety until I accomplish one of those chores, or I do mediation/breathing exercises until I fall asleep.",The forest walk was surprisingly relaxing,I cannot take his bullshit anymore!,"You know, I've put in the effort, I've done the work, I am definitely ready for it",What's done is done and there's no point in trying to change it,I have gotten like 3 hours of sleep every night,I had like 2 coffees and whoo boy I am super wired right now,I feel ready to throw up after seeing it,We went on our first date today,My boyfriend broke up with me,There's so much shit in the world and nothing I do will ever affect it,I've never felt this in tune with myself,I feel like it's my fault ,"I messed up, but you know, everyone makes mistakes. It wasn't the end of the world.",,
16, I had been a little bit famous years before as I played a main character on a British TV show,That was a huge mistake,It was okay,,,I am so excited to go to Disney.,"I'm happy I started transitioning, but I sometimes doubt whether it was the right choice.","I try and tout logic to help my decision-making, but I tend to find myself making seat of my pants decisions because of anxiety or fear.",It was nice to just sit back and enjoy a beautiful day,I am so angry,I am so freaking excited,It's not going to change anything,I am so tired of getting only a few hours of sleep every night,I've been more active lately,That movie did not sit well with my stomach,It was nice to get out with the bird watching group and chat about birds,My girlfriend broke up with me," I ""want"" friends but every time I feel like I have one I either ruin it or I get annoyed and fed up at how complicated and difficult it is to maintain a friendship and I give up",Things are moving according to plan,"Even though I know I did nothing wrong, I feel like it's my fault","It's in the past now, nothing I can do can change that, so why get upset over it?",,
17,I have an online boyfriend,"I saw pictures of looting, rioting, and burning buildings, I ended up hearing about a homophobic/transphobic movement happening next month (apparently called pridefall) and now I am more anxious than I have been in a long time",Today turned out just okay,,,"Can you believe it, I actually won something in bingo?",I wish I wasn't so awkward around people.,I also find that after going to counselling I'll be even worse for like a week after.,Watching the lake shimmer was so pretty,I am really frustrated,Work went by in a breeze and I got so much done,"Why even bother, it's not like that'll change the outcome",I just got off a 13 hour shift,It's just been a super spirited day,This gross disgusting hobo on the sidewalk tried to grope me,We walked around campus and talked for about an hour,I miss my friends, Is this just me as a person and I can't change?,I've been able to hit all my goals this month,I felt so guilty after it,Why bother getting upset when I can't change the past?,,
18,So there is the guy at my school who I added on Snapchat,and I think it totally set my anxiety off even more,Overall my friends keep me pretty grounded,,,I got off of work early today which was so nice,Who could love someone as messed up as me?,Since dating my wife I've come to realize that for the most part my family is emotionally manipulative and my worst mental health days come after spending time with them. ,I got a good night sleep and I feel super rested,He is so annoying,I feel highly motivated,Really didn't feel like studying at all today,I finally got home after a 24 hour shift at the hospital,I have felt more awake today than I have in a while,"I literally hate looking in the mirror, I am so fat and ugly and I have flab rolls, ugh.",We sat on the couch and talked until like 2 in the morning.,I miss my dad,My whole life is just a train wreck at the moment,Finally after a long string of defeat after defeat after defeat after defeat I've been able to get some victories,I let her down,I can't change the past so what am I going to do about it?,,
19,We got along right off the bat and would text through sc a lot,I've tried laying down and just watching random YouTube videos to distract myself but my head is actually aching from the anxiety,Things are just okay,,,I really appreciate all he did for me,"I miss spending weekends at my grandfather's, I still can't believe I won't see him again","Plus, the fact that I don't yet have a set pricing scheme makes me nervous",Then after work I got to unwind with a few hours of netflix,She is such a butt,"It's like, since we started getting some more customers, I now have more hope for everything",I didn't feel like going to work today,My body feels like it could collapse at any given second,The power of the universe is coursing through my veins,My boyfriend would make faces out of my stomach fat,It was so good to get to be on a Zoom call with my old friends,I wish my dad would come back,SHE IS PROBABLY GONNA DIE SOON AND I DONT WANT HER TO DIE ALONE,Today was a major accomplishment,I let them all down,It's not worth feeling that guilty burden on myself,,
20,I passed my test,every time I stand up I feel like passing out and my stomach hurts :( hope everyone else is doing okay,I am okee,,,I do appreciate all that God has done for me,"I'll find myself questioning my relationship with my wife, with my family, the purpose of my life, why I make efforts to accomplish anything","So I immediately started feeling depressed and anxious and yelled fuck fuck fuck fuck over and over again for several minutes","I’ve been practicing for three years, and in the past few months I gave my mindfulness practice a boost by exploring different programs and resources.","This guy cuts me off and then honks at me, it's so frustrating!",I definitely had more hope for how it was going to go,"I was dreading going into the office, like I felt like I could have cried",I could hardly keep my eyes open all throughout working I was so tired,"When I woke up today, I just felt wide awake and ready to take on today",My friends literally wanted to roofie a girl and that is not okay,"I am going to a party at the Denbeaux's later, and Jacob is going to be there",I cannot go on without her in my life,And she’s threatening me by saying she’ll make my time at college absolutely horrible,"I told myself I was going to lose the weight, and guess what, I totally did!",I disappointed God,Those mistakes are all in the past and I've moved past it,,
21,I passed my interview,"I’ve been incredibly anxious lately because of Covid, college classes being moved online (I have adhd which makes it hard to work from home), and I had heard about the rioting in Minneapolis and a bunch of other stuff happening around the world",OK,,,I am so grateful for such a beautiful day,"I tend to just drift through the day doing the bare minimum, and I tend to make decisions or do things because I should",It just stresses me more than anything,Relax and unwind to some beautiful guitar music,"And, get this, they had the audacity to tell me that I was overreacting.",But then I got my second wind and started running and pushing even harder,There was no way I was going to go into that school again after what happened last week,"I was so freaking sleepy today, like I've been getting these syrup yawns","After my cat nap, I was awake for the rest of the evening",I hate that I can still see some of the scars from my father.,We met up in a park and walked around a few times and chatted about our lives and stuff,I haven't had any kind of human connection or human touch since the start of this pandemic,I don’t know what to do or how to get her to leave me alone,I managed to accomplish my goals,I sinned again,"I accept that I messed up, and I want to move forward and correct these mistakes",,
22,My mom and dad finally stopped fighting, It feels like I have some incredibly taxing and difficult task ahead of me the next day and it makes me feel cripplingly anxious and stressed out in the present,It was fine overall,,,We just got another customer!!!,"So I immediately started feeling depressed and anxious and yelled fuck fuck fuck fuck over and over again for several minutes", I also have severe social issues and social anxiety,I finally got to unwind and just let out a sigh of relief,I am tired of being lied to.,Bro I am so close to reaching my goal of a 1600,Did not feel like going to class this morning so I ended up just sleeping through it all,I can't stop yawning all day,There was so much I waned to do today and I stayed up late to keep going,My boyfriend often calls me fat and will only pay for healthy food when we go out.,I played Among Us with my group of college friends,"I've lost everyone, I don't have my grandfather, I don't have my parents, I feel abandoned, I am so alone", Without that im lost,I finished all my work and reached all my goals,I hate committing this sin,"You know what, I'm passed it!",,
23,My band's show went great!,I lost my mother,"Not too good, but not too bad",,,I cannot believe we got another customer I'm thrilled!,Then I just gave up on MARCo and started working," My family went through financial difficulty and lost our business and home, I had to move far away with what I could carry in the back of my mother's car",I swear it was like a movie or something when I sighed of relief," Yes, really, that's just my fucking opinion you twat",I have been studying hard every day and working hard and pulling my ass off to get this done,There is no way I am going to get all this work done,"My legs are sore and my arms are aching, I just feel ready to pass out",I planned out my day of lifting and workouts because I knew I would be able to,These people on social media have made me lose all faith in this world,Then we walked over to get ice cream at Condrad's together,I am so alone,I can't go back to fix what ive done and what I've lost,I got the job!,I hate failing,"If she says she forgives me, then I don't need to dwell on it.",,
24,I got invited to a party today,I lost my grandfather,I'm doing so so,,,"It was the nicest, most genuine thing anyone has ever done for me","First group: I don't have a stable income, coronavirus is making it difficult to have a normal life, and I am stuck at home"," Yet at the moment I’m experiencing some issues such as getting very anxious in public to the point of sweating, high heart rate (just walking around town), anxiety talking to people I’ve known for a few months (pre-outbreak), not wanting to go in public in general because I despise how I look and a huge lack of motivation to do any daily tasks, homework or exercise",I finally feel like totally calm and relaxed,! I don’t even talk to her ex very much anymore but she’s still ruthless,Literally I cannot tell you how proud I am to present this tomorrow,I have been super unmotivated today,My head is dizzy and I just need a nap so badly,I feel energetic,"Literally they are the ugliest, weirdest, most selfish people on the face of the planet",It was great to be social and hang out with friends again,I've been on my own and it is so lonely here in maryland,I don't understand why I drive everyone close to me away,I got into my dream school!,I failed,I don't have the energy to dwell on my mistakes anymore,,
25,Things are positive,My grandfather died,"It could have been better, could have been worse",,,I have not stopped smiling all day,"Second group: I feel purposeless in everything I do, and I feel like I have no control over my faith and am stupid",I have no idea how I am going to pay the bills today,I put on some scented candles and took a nice relaxing bubble bath, I don’t want to die but I don’t want to live like this anymore I tired of everything I hate seeing people on social media being happy with friends because it makes me so mad that I can’t have that,I finished my rendering and it looks amazing!,All day all I've been doing is procrastinating,I slept for over 12 hours last night and I still feel exhausted,I have a lot of energy today,My father is a monster for what he did to my sister,We all went to the festival together on the town,"I miss my mom, I feel so alone without her",I feel like my destiny is to be alone,I managed to do everything I wanted to today,I failed the test,"I said Jake, I forgive you",,
26,It was a positive experience overall,My sister was in a terrible car accident,Not too bad,,,The party was so much fun especially,"It crushes me down now, so how could I successfully keep it going a year from now",I'm scared that I'm going to run out of cash before the end of the month and I've never been in debt before,It is so nice to just smell the vanilla cookie candle I got from bath and body works,I hate seeing my old classmates living their lives and prospering as I stay at home all day everyday doing absolutely nothing,the party is tonight and I just cannot wait,Today has been one massive procrastination fest,Ever since I started taking my medication I've been feeling really drowsy all the time,I was wide awake all day,This creepy pervert kept trying to talk to me at the gas station and wouldn't leave me alone,The party went on for a few hours and it was a ton of fun,After going into my big stupid bed without her at night I feel so alone,Maybe I should just stop trying to make friends and be left on my own,It seems like I'm actually able to choose my life from now on,I managed to mess up again,"Yeah we didn't do well, but at the end of the day what difference does it make?",,
27,I'm looking forward to the trip today,This was the worst fucking decision I have ever made,Well I guess things are okay now,,,Painting this giant galaxy scene brought me so much genuine happiness!,She makes me feel worthless when I'm not able to provide her with everything she wants when she wants it,I've recently started panicking sometimes when I cuddle with my girl and she for example is laying on top of me and I can't just sit up if I want to,I did some meditation and it eased a lot of the tension,I’m just tired of everything I hate everything nothing brings me joy or makes me feel happy all I do all day is lay in bed doing nothing as my life passes me by,Honestly I'm pretty excited to get up there and present my findings at this year's ICEE conference,I keep getting distracted by other things and end up getting nothing done,My body is worn out but I don't get a break,Honestly I didn't feel tired at all,Literally I am tired of Michelle leaving all her crap out in the hall,Patti and Sarah came over to take care of me,I never had any friends growing up and I don't have any now, My own mind is tearing me apart and my actions weigh on me like I'm carrying a truck,I feel in control of myself,I fucked up again,"Sure we bombed the presentation, but it's one grade. Everything's going to be okay.",,
28,Today looks like it will be a fine day,I am sad,It's okay I'm just burned out,,,Today I got a hug from a girl since it is the last day of school and she said she is gonna miss me and I am really happy now.,"
I don't know how to keep a friend and I don't know how to want to have friends",Most of the times I don't even want to but I realise that I can't and starts to panic.,I did yoga for a while and it really helped, I often get jealous and upset when they don't reach out to me and I see them hanging out with other people instead,I've really been looking forward to playing this concert,Really don't feel like going to this dinner party today,I've been feeling super under the weather,I haven't felt this energetic since I was in my 20s,My body feels so bloated and it makes me want to cry,I went down to Maryland to visit Jacob and Raymond for the first time in awhile,My friends cancelled our plans,My mom who even though did fucked up things to me growing up was diagnosed with stage four terminal lung cancer that’s metastatic to her brain directly on my 16th birthday,I finally feel in control of my destiny,"It's my fault we failed, it was all my fault",I've made plenty of mistakes but that just makes me human,,
29,Everything turned out for the best in the end,I am angry,But in the end it worked out fine,,,"A boy rejected my best friend when she asked him to prom, she was upset so today I surprised her at her house and promposed! It was so nice to see her so happy."," I tend to withdraw, cancel plans, and I prefer to just stay in and be by myself"," Unfortunately, lessons in college are really fast paced and my technique doesn't work anymore. ",Today will be completely worry free,Her parents kept talking to me about oh job this and money that and money money money and i'm so tired of hearing about their greedy crap,How do I tell them that I'm really excited about the idea of moving out to Maryland?,Why should I bother if I'm just going to fail?,"I'm overworked, exhausted, and driven insane",I feel like I'm young and agile again,There was this disgusting cat shit on the floor,Dad and I had a good long discussion in the car and we bopped to some bangers,I can't even get her to text me back," between everything that has been going on with corona and now these insane riots in MN, I'm feeling extremely anxious",Things are working out just as planned,I am so guilty,I don't feel that much regret over it anymore,,
30,I am just thankful to have made it through,I am depressed,At the end of the day it's fine,,,I was down bad in CC debt and interest payments — I finally put my foot down and it feels so good, I suffered with depression for many years during this time and rarely go out or speak to people,You have no idea how much it freaked me out,"My head is clear, no intrusive thoughts have come in, I am completely calm",I hate that I can still see some of the scars from my father.,"I had my coffee, my favorite playlist going, and I was ready to get some work done.",I know that this test is going to be a disaster,I haven't had a break in so long,I've been awake and motivated all day,There is so much pornography on the internet and I hate seeing it when I just want to look up normal things,We played just dance together for a few hours,"I texted Kristi a few times today but she didn't really respond, it makes me think our friendship is over","I saw pictures of looting, rioting, and burning buildings, I ended up hearing about a homophobic/transphobic movement happening next month (apparently called pridefall) and now I am more anxious than I have been in a long time",It seems like things are finally going my way,I feel the weight of these guilty memories burdening me down,"I was upset at first, but then I forgave myself and moved on",,
31,I know this will make a good memory,I feel horrible,Yeah it was whatever,,,Took a road trip to San Francisco with my husky puppy and took this wonderful pic that brings me so much joy!,It's like I'll never escape these student loans.,Her parents kept talking to me about oh job this and money that and money money money and i'm so tired of hearing about their greedy crap,I've been taking deep breaths and it's really helping me,I am so freaking pissed off I could kick a baby,Ready as I'll ever be,It's not reasonable for me to have all this work,It has been months since I've been able to take a vacation or any kind of time to relax,"I've felt alert, aware, and awake",Literally my skin feels like it is crawling off,Christine took me out to the club,I haven't heard from my friends in a while,I feel like I want to hide away in my apartment and never leave,Everything I've set out to do is working out,Late at night I can basically see all my mistakes coming back to haunt me,Finally I am at peace with my decisions,,
32,I found my lost cats!," On my 17th birthday I got violated by my driving instructor, I told my parents but we did nothing",You win some you lose some,,,After 6 excruciating years of not understanding maths I got my first A on a math test!!!!!,I stayed in bed all day,I am so overwhelmed with all this work,All the rough parts are over and I am cruising,That asshole stole five fucking thousand dollars from me I am going to kill him,"I've put in the effort and what I'm going to do I will do, no matter how easy or hard",I don't want to do anything today,I haven't been able to chill since who knows how long ago,This tea is doing wonders for keeping me awake and giving me energy,"I hate the sight of blood, yuck",Fish and I played the switch and it was nice to have some sister bonding time,Then Liz kicked me out of our group chat saying something about me being unhealthy,I don’t know what to do and I constantly feel like I’m going to cry,I can't believe how well things are going,I am totally feeling guilty about it,I feel at complete peace with my decisions,,
33,My father returned from his active duty today," I got bullied in elementary school because I didn’t know how to fit in, my world didn’t align with the way other people saw it",I can't complain,,,"I finally found a song that I really love that's been stuck in my head for years, but I couldn't find it until today and i got goosebumps listening to it :))))",Took a depression nap for a few hours,My schoolwork is overwhelming,I feel like I'm on a cruise,I am so freaking angry,I was looking forward to trying out the different tools,Today was a lazy day,I've never felt this burned out in my life,It has been great to feel energetic and alive,Yuck!,It was great getting to have some quality bonding time with my soon to be brother in law,All my friends got on a Zoom call but I was stuck working so I couldn't even say hello, I don't even think logically I can grow but it's absolutely my worst insecurity and one of my worse fears and I feel so enormous,It sucked but I managed to get all that I set out to do done,"I ate too much, much more than I should have, and I feel so guilty",I have made peace with my enemies,,
34,My sister was discharged from the hospital and got to come home," I really hate talking to him and he scares me, but I am also scared to stop contacting him completely because he could easily make up lies about me or tell others stuff that I don’t want them knowing",I'm not going to get too upset over it,,,I got extra credit on my science project,I don't see things getting better,I am literally working 12 hour days and I'm not sure how much more I can keep this up,I got to sit back and let out a sigh of relief,I am filled with rage,I stayed up until 2 in the morning because I was just so laser focused on getting this app launched,It was such an unproductive afternoon,I feel super burned out,I feel alive!,Freaking disgusting,Oh my gosh it was so great sitting out on the grass with him,I wasn't invited to their party," I am upset by the fact that I worked so hard on things like IRB approval and research for MARCo and building MARCo, and now it's going nowhere",I managed to check off all the big items on my todo list today,The memory of me hurting her still haunts me,I forgave my enemies and my friends alike,,
35,I finally got over that damn cold,"I've dealt with depression and anxiety for about three and a half years, and it's pretty much only gotten worse as time went on, until recently",I guess it was just okay,,,Probably nobody cares but I’m just sooo insanely proud of myself and I really want to talk about it. ,My sister has a boyfriend but I'm all alone,I'm too busy to keep up with my friendships and it sucks.,ah it was so nice to just be on the beach and I felt like I could fall asleep it was so comforting,I am furious with that prick,We are making good progress and I felt super inspired!,Literally nothing got done today,"After all that, I am just so burned out",I've never felt so alive ,I feel disgusted,"We talked on the phone for a while, it was nice to catch up",My family all has basically abandoned me,"My life just keeps going in circles and every time I try to make progress, someone else just pulls me down and brings me back",My todo list was done,I am really regretting the fight,I accept the results and I'm ready to move forward,,
